ID,ADULTS,CHILDREN,INFANTS,HAUL_TYPE,DISTANCE,DEVICE,TRIP_TYPE,EXTRA_BAGGAGE,TRIP_LEN_DAYS,COMPANY,FAMILY_SIZE,IS_ALONE
3648,2,0,1,INTERCONTINENTAL,6676.66,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,17,EDREAMS,3,NOT_ALONE
32286,1,0,0,CONTINENTAL,994.813,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,1,ALONE
35368,1,0,0,INTERCONTINENTAL,767.746,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,1,ALONE
36330,1,0,0,CONTINENTAL,322.775,SMARTPHONE,ROUND_TRIP,NO_EXTRA_BAGGAGE,3,EDREAMS,1,ALONE
34216,1,0,0,INTERCONTINENTAL,8155.38,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,25,EDREAMS,1,ALONE
40808,1,0,0,CONTINENTAL,1278.18,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,1,ALONE
3325,1,0,0,CONTINENTAL,364.703,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,0,EDREAMS,1,ALONE
23574,1,0,0,CONTINENTAL,3508.5,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,1,OPODO,1,ALONE
45213,1,0,0,INTERCONTINENTAL,4089.2,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,1,ALONE
11720,3,0,0,CONTINENTAL,363.956,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,3,NOT_ALONE
38063,1,0,0,INTERCONTINENTAL,2236.54,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,GO_VOYAGE,1,ALONE
20535,1,0,0,DOMESTIC,3642.31,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,1,ALONE
43281,1,0,0,CONTINENTAL,1132.67,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,3,OPODO,1,ALONE
27575,1,0,0,CONTINENTAL,767.3,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,4,OPODO,1,ALONE
21498,1,0,0,CONTINENTAL,1390.13,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,1,ALONE
44066,2,1,0,CONTINENTAL,841.797,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,2,EDREAMS,3,NOT_ALONE
25517,2,0,0,DOMESTIC,927.079,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,7,EDREAMS,2,NOT_ALONE
38232,1,0,0,CONTINENTAL,1032.71,SMARTPHONE,ROUND_TRIP,NO_EXTRA_BAGGAGE,7,OPODO,1,ALONE
21851,1,0,0,DOMESTIC,1858.31,TABLET,ROUND_TRIP,NO_EXTRA_BAGGAGE,7,EDREAMS,1,ALONE
9935,1,0,0,CONTINENTAL,1449.96,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,5,EDREAMS,1,ALONE
3312,1,0,0,CONTINENTAL,983.271,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,1,OPODO,1,ALONE
10482,1,0,0,INTERCONTINENTAL,8631.56,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,60,OPODO,1,ALONE
1126,1,0,0,CONTINENTAL,2507.94,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,24,EDREAMS,1,ALONE
7442,2,0,0,CONTINENTAL,436.115,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,2,EDREAMS,2,NOT_ALONE
49663,1,0,0,CONTINENTAL,1342.25,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,4,OPODO,1,ALONE
33172,1,0,0,CONTINENTAL,2399.52,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,OPODO,1,ALONE
36564,2,1,0,INTERCONTINENTAL,4620.51,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,5,OPODO,3,NOT_ALONE
4202,1,0,0,CONTINENTAL,1905.27,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,1,ALONE
2084,1,0,0,CONTINENTAL,1919.07,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,7,GO_VOYAGE,1,ALONE
38442,2,0,0,INTERCONTINENTAL,6754.04,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,12,GO_VOYAGE,2,NOT_ALONE
24650,1,0,0,INTERCONTINENTAL,1404.69,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,44,OPODO,1,ALONE
46274,2,0,0,CONTINENTAL,376.116,OTHER,ROUND_TRIP,NO_EXTRA_BAGGAGE,4,OTHER,2,NOT_ALONE
49677,3,0,0,DOMESTIC,337.666,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,1,EDREAMS,3,NOT_ALONE
14292,1,0,0,CONTINENTAL,724.282,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,1,OPODO,1,ALONE
32004,1,0,0,DOMESTIC,674.094,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,1,ALONE
18625,1,0,0,INTERCONTINENTAL,3023.47,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,OPODO,1,ALONE
43172,1,0,0,CONTINENTAL,1043.34,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,151,OPODO,1,ALONE
9837,1,0,0,CONTINENTAL,1083.23,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,2,EDREAMS,1,ALONE
45122,3,0,0,CONTINENTAL,1949.49,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,EDREAMS,3,NOT_ALONE
36450,2,0,0,INTERCONTINENTAL,1753.88,SMARTPHONE,MULTI_DESTINATION,NO_EXTRA_BAGGAGE,3,GO_VOYAGE,2,NOT_ALONE
14970,1,0,0,INTERCONTINENTAL,6149.26,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,6,EDREAMS,1,ALONE
47395,2,0,1,CONTINENTAL,1476.43,SMARTPHONE,ROUND_TRIP,NO_EXTRA_BAGGAGE,13,GO_VOYAGE,3,NOT_ALONE
39718,1,0,0,INTERCONTINENTAL,1514.08,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,GO_VOYAGE,1,ALONE
13930,1,0,0,CONTINENTAL,598.423,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,OPODO,1,ALONE
6018,1,0,0,CONTINENTAL,554.349,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,4,OPODO,1,ALONE
40713,1,0,0,CONTINENTAL,908.753,COMPUTER,ONE_WAY,NO_EXTRA_BAGGAGE,0,OPODO,1,ALONE
13378,1,0,0,INTERCONTINENTAL,5554.67,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,15,OPODO,1,ALONE
29420,1,0,0,INTERCONTINENTAL,8190.98,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,75,GO_VOYAGE,1,ALONE
23597,1,0,0,INTERCONTINENTAL,1464.59,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,33,OPODO,1,ALONE
41922,1,0,0,CONTINENTAL,2109.06,COMPUTER,ROUND_TRIP,NO_EXTRA_BAGGAGE,6,OPODO,1,ALONE
